Description,Date
Epiphany,01-06-2014
Saint Joseph's Day,03-24-2014
Maundy Thursday,04-17-2014
Good Friday,04-18-2014
Labour Day,05-01-2014
Ascension Day,06-02-2014
Corpus Christi,06-23-2014
Feast of Saints Peter and Paul,06-30-2014
Feast of the Sacred Heart,06-30-2014
Independence Day,07-20-2014
Battle of Boyacá Day,08-07-2014
Assumption of Mary,08-18-2014
Day of the Races,10-13-2014
All Saints' Day,11-03-2014
Cartagena Independence Day,11-17-2014
Feast of the Immaculate Conception,12-08-2014
Christmas Day,12-25-2014
New Year's Day,01-01-2015
Epiphany,01-12-2015
Saint Joseph's Day,03-23-2015
Maundy Thursday,04-02-2015
Good Friday,04-03-2015
Labour Day,05-01-2015
Ascension Day,05-18-2015
Corpus Christi,06-08-2015
Feast of the Sacred Heart,06-15-2015
Feast of Saints Peter and Paul,06-29-2015
Independence Day,07-20-2015
Battle of Boyacá Day,08-07-2015
Assumption of Mary,08-17-2015
Day of the Races,10-12-2015
All Saints' Day,11-02-2015
Cartagena Independence Day,11-16-2015
Feast of the Immaculate Conception,12-08-2015
Christmas Day,12-25-2015
New Year's Day,01-01-2016
Epiphany,01-11-2016
Saint Joseph's Day,03-21-2016
Maundy Thursday,03-24-2016
Good Friday,03-25-2016
Labour Day,05-01-2016
Ascension Day,05-09-2016
Corpus Christi,05-30-2016
Feast of the Sacred Heart,06-06-2016
Feast of Saints Peter and Paul,07-04-2016
Independence Day,07-20-2016
Battle of Boyacá Day,08-07-2016
Assumption of Mary,08-15-2016
Day of the Races,10-17-2016
All Saints' Day,11-07-2016
Cartagena Independence Day,11-14-2016
Feast of the Immaculate Conception,12-08-2016
Christmas Day,12-25-2016
New Year's Day,01-01-2017
Epiphany,01-09-2017
Saint Joseph's Day,03-20-2017
Maundy Thursday,04-13-2017
Good Friday,04-14-2017
Labour Day,05-01-2017
Ascension Day,05-29-2017
Corpus Christi,06-19-2017
Feast of the Sacred Heart,06-26-2017
Feast of Saints Peter and Paul,07-03-2017
Independence Day,07-20-2017
Battle of Boyacá Day,08-07-2017
Assumption of Mary,08-21-2017
Day of the Races,10-16-2017
All Saints' Day,11-06-2017
Cartagena Independence Day,11-13-2017
Feast of the Immaculate Conception,12-08-2017
Christmas Day,12-25-2017
New Year's Day,01-01-2018
Epiphany,01-08-2018
Saint Joseph's Day,03-19-2018
Maundy Thursday,03-29-2018
Good Friday,03-30-2018
Labour Day,05-01-2018
Ascension Day,05-14-2018
Corpus Christi,06-04-2018
Feast of the Sacred Heart,06-11-2018
Feast of Saints Peter and Paul,07-02-2018
Independence Day,07-20-2018
Battle of Boyacá Day,08-07-2018
Assumption of Mary,08-20-2018
Day of the Races,10-15-2018
All Saints' Day,11-05-2018
Cartagena Independence Day,11-12-2018
Feast of the Immaculate Conception,12-08-2018
Christmas Day,12-25-2018
New Year's Day,01-01-2019
Epiphany,01-07-2019
Saint Joseph's Day,03-25-2019
Maundy Thursday,04-18-2019
Good Friday,04-19-2019
Labour Day,05-01-2019
Ascension Day,06-03-2019
Corpus Christi,06-24-2019
Feast of Saints Peter and Paul,07-01-2019
Feast of the Sacred Heart,07-01-2019
Independence Day,07-20-2019
Battle of Boyacá Day,08-07-2019
Assumption of Mary,08-19-2019
Day of the Races,10-14-2019
All Saints' Day,11-04-2019
Cartagena Independence Day,11-11-2019
Feast of the Immaculate Conception,12-08-2019
Christmas Day,12-25-2019
